State,TaxRate
AL,878038
AK,44754
AZ,844828
AR,588223
CA,7659320
CO,618724
CT,469851
DE,124842
DC,23638
FL,2873845
GA,1781682
HI,70796
ID,405050
IL,2383666
IN,1545597
IA,673571
KS,445472
KY,699875
LA,639727
ME,231938
MD,1025338
MA,662932
MI,1336795
MN,844730
MS,449814
MO,696002
MT,274353
NE,415141
NV,351627
NH,171513
NJ,386173
NM,255868
NY,1369379
NC,2130696
ND,173157
OH,2524431
OK,571408
OR,619333
PA,3031113
RI,130104
SC,838264
SD,189881
TN,1210808
TX,3596892
UT,534738
VT,109548
VA,1421963
WA,1518342
WV,399542
WI,1123970
WY,111244
