code,taxrate
AL,26735.52174
AK,26735.52174
AZ,0
AR,0
CA,77
CO,26735.52174
CT,285779
DE,2
DC,31742
FL,26735.52174
GA,0
HI,31275
ID,26735.52174
IL,478611
IN,289
IA,100141
KS,26735.52174
KY,61625
LA,0
ME,40399
MD,240585
MA,787764
MI,0
MN,204646
MS,26735.52174
MO,3
MT,26735.52174
NE,26735.52174
NV,26735.52174
NH,26735.52174
NJ,530341
NM,26735.52174
NY,1537437
NC,35
ND,26735.52174
OH,62
OK,5
OR,410270
PA,1302914
RI,38141
SC,26735.52174
SD,26735.52174
TN,1434
TX,26735.52174
UT,26735.52174
VT,26924
VA,26735.52174
WA,324421
WV,26735.52174
WI,1
WY,0
