code,taxrate
AL,4908837
AK,3223955
AZ,6532753
AR,3467141
CA,146324579
CO,10246531
CT,10259183
DE,2148289
DC,2643213
FL,3223955
GA,14220906
HI,3354690
ID,2457943
IL,21870696
IN,10578929
IA,4266534
KS,4617143
KY,5212818
LA,3933108
ME,2075273
MD,10186240
MA,19683486
MI,11999165
MN,15170613
MS,2515630
MO,7715511
MT,1889444
NE,3130599
NV,3223955
NH,127003
NJ,16833495
NM,1198906
NY,54531166
NC,15908051
ND,448704
OH,10662810
OK,3767669
OR,11256904
PA,15977933
RI,1757678
SC,5456360
SD,3223955
TN,179379
TX,3223955
UT,6672695
VT,1233157
VA,17066596
WA,3223955
WV,2253788
WI,9035988
WY,3223955
