code,taxrate
AL,663891
AK,4361
AZ,22226
AR,52027.22222
CA,652621
CO,52027.22222
CT,256751
DE,45518
DC,167152
FL,1682256
GA,52027.22222
HI,125221
ID,1961
IL,1276429
IN,207932
IA,78826
KS,312
KY,81185
LA,9250
ME,21732
MD,144260
MA,52027.22222
MI,38425
MN,95402
MS,1874
MO,52027.22222
MT,41015
NE,53973
NV,37518
NH,40436
NJ,935252
NM,34757
NY,775099
NC,233
ND,53465
OH,1036909
OK,47701
OR,18564
PA,994326
RI,93449
SC,28258
SD,3236
TN,8894
TX,725767
UT,54890
VT,9576
VA,495749
WA,611339
WV,126206
WI,354279
WY,4592
