code,taxrate
AL,272021
AK,41126
AZ,89138
AR,68024
CA,411969
CO,53433
CT,79109
DE,32719
DC,6197
FL,338642
GA,227872
HI,45178
ID,10980
IL,312101
IN,58542
IA,29798
KS,148735
KY,174267
LA,79279
ME,18461
MD,38941
MA,93206
MI,235383
MN,101472
MS,45761
MO,46316
MT,46484
NE,35338
NV,44690
NH,13701
NJ,174692
NM,24359
NY,333045
NC,533809
ND,9612
OH,118746
OK,146821
OR,18086
PA,445401
RI,22112
SC,208490
SD,20021
TN,210708
TX,1267217
UT,17880
VT,12035
VA,295471
WA,472949
WV,17304
WI,73778
WY,2238
