code,taxrate
AL,0
AK,15480
AZ,258
AR,70993
CA,12600
CO,115624
CT,222943
DE,12600
DC,3
FL,168200
GA,12600
HI,12600
ID,12600
IL,881505
IN,608043
IA,339345
KS,256
KY,22
LA,686865
ME,43368
MD,1034508
MA,224641
MI,157621
MN,132221
MS,189725
MO,354428
MT,116507
NE,6180
NV,764287
NH,17977
NJ,308883
NM,68021
NY,76
NC,16
ND,19616
OH,219979
OK,22652
OR,6332
PA,1754340
RI,16586
SC,36213
SD,11045
TN,24503
TX,17514
UT,12600
VT,12600
VA,5557
WA,281
WV,27584
WI,47
WY,5018
