code,taxrate
AL,170998
AK,61181
AZ,294155
AR,233224
CA,1969795
CO,227872
CT,322806
DE,115700
DC,22185
FL,1100091
GA,242897
HI,108529
ID,48796
IL,917043
IN,410363
IA,200579
KS,123410
KY,420634
LA,268752
ME,144593
MD,388243
MA,398214
MI,886370
MN,626480
MS,140868
MO,99418
MT,73677
NE,55790
NV,185039
NH,253579
NJ,601614
NM,95230
NY,1000481
NC,307357
ND,26108
OH,928292
OK,463457
OR,377921
PA,1292064
RI,158682
SC,134537
SD,52328
TN,242926
TX,1397304
UT,106633
VT,77473
VA,287856
WA,386660
WV,171187
WI,604097
WY,21553
