ITEM,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,23357063,468015,120028,1266990,1308040,3151488,51669.11111,51669.11111,51669.11111,2994580,51669.11111,732325,51669.11111,51669.11111,59589,13876,2024,815701,707461,103750,44636,893215,10368,2396416,809160,29885,37418,334759,123,386450,401407,5166,114185,51669.11111,51669.11111,5207,51669.11111,51669.11111,25127,40395,3864,78975,51669.11111,51669.11111,51669.11111,51669.11111,1203059,43332,4350245,8122,95757,295925
T09,372721092,3912037,1777553.75,9176685,4187473,45149150,3660590,5252683,1777553.75,1201346,29873668,6948296,3296268,2516997,13429355,9282907,4002493,3767434,4558439,4048616,1909696,5458909,7785108,11190298,6698560,4230391,4119671,1777553.75,2382381,4742692,1777553.75,12803267,2971970,14548170,9717598,919915,14393197,3116195,1148387,13717681,1334931,4154363,1273575,11060457,40413873,3628512,507259,6527477,19056609,1537245,6373483,734785
T10,7623657,272021,41126,89138,68024,411969,53433,79109,32719,6197,338642,227872,45178,10980,312101,58542,29798,148735,174267,79279,18461,38941,93206,235383,101472,45761,46316,46484,35338,44690,13701,174692,24359,333045,533809,9612,118746,146821,18086,445401,22112,208490,20021,210708,1267217,17880,12035,295471,472949,17304,73778,2238
T11,8695263,0,15480,258,70993,12600,115624,222943,12600,3,168200,12600,12600,12600,881505,608043,339345,256,22,686865,43368,1034508,224641,157621,132221,189725,354428,116507,6180,764287,17977,308883,68021,76,16,19616,219979,22652,6332,1754340,16586,36213,11045,24503,17514,12600,12600,5557,281,27584,47,5018
T12,26216435,468162,61558,680245,310009,3116772,347690,181373,123324,133546,1491831,538106,191516,118439,513239,234753,143752,450742,187041,1004261,101947,757839,537405,349170,650137,397786,447949,138905,69558,489269,123525,639103,235054,2017340,725207,59178,666671,448883,49633,852301,146288,273744,90063,1108673,2699643,165995,63343,551005,683639,118061,226531,36231
T13,51478536,878038,44754,844828,588223,7659320,618724,469851,124842,23638,2873845,1781682,70796,405050,2383666,1545597,673571,445472,699875,639727,231938,1025338,662932,1336795,844730,449814,696002,274353,415141,351627,171513,386173,255868,1369379,2130696,173157,2524431,571408,619333,3031113,130104,838264,189881,1210808,3596892,534738,109548,1421963,1518342,399542,1123970,111244
T14,154943,4112,266.6111111,109,1670,18974,306,11738,39,266.6111111,7184,266.6111111,266.6111111,1524,7811,1589,3870,266.6111111,31596,5535,1141,1119,1117,2656,2463,266.6111111,266.6111111,104,180,0,525,266.6111111,1104,12051,266.6111111,1663,3690,1088,2336,10367,393,266.6111111,120,266.6111111,4972,266.6111111,266.6111111,266.6111111,883,2850,0,8064
T15,12163068,663891,4361,22226,52027.22222,652621,52027.22222,256751,45518,167152,1682256,52027.22222,125221,1961,1276429,207932,78826,312,81185,9250,21732,144260,52027.22222,38425,95402,1874,52027.22222,41015,53973,37518,40436,935252,34757,775099,233,53465,1036909,47701,18564,994326,93449,28258,3236,8894,725767,54890,9576,495749,611339,126206,354279,4592
T16,19245041,170998,61181,294155,233224,1969795,227872,322806,115700,22185,1100091,242897,108529,48796,917043,410363,200579,123410,420634,268752,144593,388243,398214,886370,626480,140868,99418,73677,55790,185039,253579,601614,95230,1000481,307357,26108,928292,463457,377921,1292064,158682,134537,52328,242926,1397304,106633,77473,287856,386660,171187,604097,21553
T19,54566828,645263,39382,142055,293212,5388443,1970574,1351016,145781,90467,986396,519077,310116,76479,3765186,1497997,49883,33768,935079,111228,156641,1738046,725248,1729045,2052993,276090,181509,77454,22081,340603,422686,2023002,162039,5963245,1171212,164174,2256603,157465,1273625,2351272,229443,552152,143713,625892,6522826,10740,468383,2134314,1282554,568575,428437,3364
